timestamp,observed,trend,seasonal,residual,threshold_value,trend_slope,candidate,kept
2025-09-21 00:30:00,20.2,23.315818198829938,-0.7964803332812069,-2.3193378655487322,0.7065830752901039,-0.007584082082819539,False,False
2025-09-21 01:00:00,20.3,23.3079011001163,-1.4336399172820413,-1.5742611828342596,0.6836899208504942,-0.007659830851133975,False,False
2025-09-21 01:30:00,20.3,23.299913293091564,-2.021523476764845,-0.9783898163267182,0.6700057737628234,-0.007734359195164113,False,False
2025-09-21 02:00:00,20.3,23.29185536786525,-2.694827474601328,-0.29702789326391965,0.6731643286857162,-0.00780773191215367,False,False
2025-09-21 02:30:00,20.1,23.283727719209832,-3.0759385141169093,-0.10778920509292078,0.6688109310613962,-0.007880060716637752,False,False
2025-09-21 03:00:00,19.8,23.27553060790841,-3.4299372122533827,-0.045593395655028957,0.6803263280654333,-0.007951490388228658,False,False
2025-09-21 03:30:00,19.6,23.26726415054407,-3.6932180026803847,0.02595385213631829,0.6803263280654333,-0.008022189531433336,False,False
2025-09-21 04:00:00,19.5,23.258928294928012,-3.891318711214436,0.13239041628642312,0.6740676504871367,-0.00809234138097814,False,False
2025-09-21 04:30:00,19.3,23.250522825611572,-4.0630615059998085,0.11253868038823711,0.677345068460036,-0.008162134198048085,False,False
2025-09-21 05:00:00,19.2,23.242047356048843,-4.140594194636649,0.09854683858780433,0.677345068460036,-0.008231744579998571,False,False
2025-09-21 05:30:00,18.1,23.23350133122188,-4.391017836398366,-0.7424834948235137,0.677345068460036,-0.008301335302734358,False,False
2025-09-21 06:00:00,17.7,23.224884048094623,-4.491702094053248,-1.0331819540413747,0.677345068460036,-0.00837106466465857,False,False
2025-09-21 06:30:00,17.4,23.216194714182464,-4.534585238942742,-1.2816094752397227,0.677345068460036,-0.008441093302298105,False,False
2025-09-21 07:00:00,17.4,23.207432491295616,-5.0230737927754046,-0.7843586985202116,0.677345068460036,-0.00851157272693411,False,False
2025-09-21 07:30:00,17.4,23.198596549244723,-5.291672337065798,-0.5069242121789266,0.6828330321146867,-0.008582633938732561,False,False
2025-09-21 08:00:00,17.5,23.189686147162266,-3.8851060868883187,-1.804580060273949,0.6804659543260481,-0.008654379394474887,False,False
2025-09-21 08:30:00,19.0,23.180700669203162,-4.177400701507926,-0.0032999676952343293,0.6804659543260481,-0.0087268681477628,False,False
2025-09-21 09:00:00,21.1,23.17163959735784,-2.14104309248214,0.06940349512430188,0.6804659543260481,-0.008800110336453079,False,False
