,Datetime,SA DPT,SA Temp,RA DPT,SA %RH,RA Temp,RA Humidity
22,2022-01-03 04:21:13,16.3,20.3,16.9,77.9,25.3,59.8
23,2022-01-03 04:21:13,15.5,19.5,16.7,78.0,25.4,59.1
24,2022-01-03 04:46:36,15.0,19.0,16.6,78.1,25.0,59.8
25,2022-01-03 04:46:36,15.4,19.4,16.8,78.2,24.9,61.1
26,2022-01-03 05:11:04,14.2,18.2,16.7,78.2,25.1,60.2
27,2022-01-03 05:11:04,15.2,19.2,16.6,78.4,25.0,60.6
28,2022-01-03 05:35:04,15.3,19.1,17.4,78.7,25.0,62.7
29,2022-01-03 05:35:04,14.8,18.6,17.5,78.8,24.8,63.9
30,2022-01-03 05:59:43,14.9,18.7,17.6,78.9,24.9,64.2
31,2022-01-03 05:59:43,15.7,19.5,17.6,79.2,24.9,64.4
32,2022-01-03 06:23:00,16.5,20.3,17.6,79.5,24.9,64.2
33,2022-01-03 06:23:00,15.9,19.7,17.7,79.6,24.8,65.0
34,2022-01-03 06:43:55,16.7,20.3,18.0,79.8,24.9,65.8
35,2022-01-03 06:43:55,16.6,20.2,18.0,80.0,25.1,65.4
36,2022-01-03 07:05:50,16.3,19.9,17.9,80.1,25.0,64.8
37,2022-01-03 07:05:50,15.4,19.0,18.0,80.1,25.1,64.8
38,2022-01-03 07:31:11,16.2,19.8,18.0,80.4,25.1,64.8
39,2022-01-03 07:31:11,16.7,20.1,17.6,80.8,24.9,64.2
40,2022-01-03 07:56:53,15.4,18.8,17.4,80.8,24.7,64.6
41,2022-01-03 07:56:53,15.6,19.0,17.7,80.8,25.1,64.3
42,2022-01-03 08:21:15,15.4,18.8,17.9,80.9,25.0,65.5
43,2022-01-03 08:21:15,16.7,20.1,18.1,81.2,25.0,66.5
44,2022-01-03 08:40:14,16.2,19.6,18.2,81.4,24.8,67.6
45,2022-01-03 08:40:14,15.4,18.8,18.1,81.4,24.7,67.6
46,2022-01-03 09:01:25,15.4,18.8,18.3,81.6,24.9,67.6
47,2022-01-03 09:01:25,15.1,18.3,18.1,81.7,24.2,69.5
0,2022-01-04 00:05:45,17.1,20.3,18.2,82.2,23.4,73.0
1,2022-01-04 00:25:06,18.5,21.8,18.6,82.3,24.0,71.8
2,2022-01-04 00:47:51,18.9,22.2,18.3,82.3,24.2,70.3
3,2022-01-04 01:06:49,19.1,22.4,18.3,82.3,24.4,69.4
4,2022-01-04 01:29:26,19.2,22.5,18.3,82.1,24.4,69.0
5,2022-01-04 01:54:32,19.2,22.5,18.1,81.9,24.4,68.4
6,2022-01-04 02:19:20,19.2,22.5,18.0,81.7,24.3,68.1
7,2022-01-04 02:38:43,19.0,22.5,18.0,81.5,24.3,67.9
8,2022-01-04 03:01:55,19.0,22.5,17.9,81.3,24.2,67.8
9,2022-01-04 03:27:28,19.0,22.5,17.6,81.1,24.2,67.0
10,2022-01-04 04:09:33,19.0,22.5,17.4,80.8,24.2,66.0
11,2022-01-04 04:35:58,18.8,22.5,17.5,80.4,24.1,67.3
12,2022-01-04 05:00:22,18.9,22.6,17.4,80.2,24.0,67.0
13,2022-01-04 05:19:05,18.9,22.6,17.4,79.9,24.0,67.2
14,2022-01-04 05:41:51,19.0,22.7,17.4,79.7,24.0,67.1
15,2022-01-04 06:02:37,18.8,22.7,17.3,79.5,23.9,66.9
16,2022-01-04 06:26:07,18.8,22.7,17.2,79.3,23.8,66.7
17,2022-01-04 06:45:48,18.8,22.7,17.0,78.8,23.8,66.5
18,2022-01-04 07:09:02,18.6,22.7,16.9,78.5,23.7,66.5
19,2022-01-04 07:28:41,19.1,23.2,18.0,78.2,24.9,66.3
20,2022-01-04 07:50:57,18.9,23.0,18.4,78.1,24.8,67.9
21,2022-01-04 08:16:23,17.4,21.5,18.3,77.9,24.7,68.6
22,2022-01-04 08:41:26,16.0,20.0,18.2,77.9,24.8,67.3
23,2022-01-04 09:06:41,15.0,19.0,18.5,78.0,24.9,67.9
24,2022-01-04 09:25:11,16.0,20.0,18.3,78.4,24.9,66.9
25,2022-01-04 09:46:58,16.0,19.8,18.5,79.0,24.9,67.7
26,2022-01-04 10:12:04,16.5,20.3,18.4,79.3,25.0,67.4
27,2022-01-04 10:33:44,14.5,18.2,18.0,79.4,24.9,66.3
28,2022-01-04 10:59:10,14.5,18.2,18.2,79.6,24.8,66.8
29,2022-01-04 11:24:16,14.8,18.4,18.1,80.0,25.0,66.6
30,2022-01-04 11:43:18,14.7,18.3,17.9,80.2,25.0,65.5
31,2022-01-04 12:04:37,14.6,18.2,17.7,80.5,25.0,64.4
32,2022-01-04 12:29:44,14.3,17.9,17.7,80.6,25.0,63.7
33,2022-01-04 12:56:13,14.7,18.0,17.3,80.8,24.9,63.0
34,2022-01-04 13:17:24,14.6,17.9,17.4,80.9,25.0,63.0
35,2022-01-04 13:41:21,14.9,18.3,17.3,81.1,24.9,63.4
36,2022-01-04 14:07:34,15.7,19.1,17.8,81.4,25.4,62.8
37,2022-01-04 14:52:53,16.8,20.2,17.9,81.5,25.3,63.8
38,2022-01-04 15:12:59,14.7,18.1,17.8,81.3,24.9,65.1
39,2022-01-04 15:37:57,13.3,16.6,17.2,81.4,25.0,62.2
40,2022-01-04 16:02:29,13.1,16.4,16.5,81.6,25.2,59.5
41,2022-01-04 16:22:09,11.8,15.1,16.2,81.5,24.0,61.9
42,2022-01-04 00:05:45,11.9,15.0,16.2,81.8,23.5,63.7
43,2022-01-04 00:25:06,11.8,14.9,16.0,82.0,23.3,64.3
